Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Total_Price
OI001,O037,P003,4,1497.48,5989.92
OI002,O075,P012,1,590.0,590.0
OI003,O065,P029,4,173.68,694.72
OI004,O033,P022,4,1029.41,4117.64
OI005,O082,P012,3,590.0,1770.0
OI006,O038,P007,4,1455.12,5820.48
OI007,O027,P030,4,323.63,1294.52
OI008,O085,P029,3,173.68,521.04
OI009,O055,P003,2,1497.48,2994.96
OI010,O070,P010,1,1914.36,1914.36
OI011,O031,P015,4,1225.17,4900.68
OI012,O013,P031,4,216.39,865.56
OI013,O060,P042,2,292.66,585.32
OI014,O094,P005,1,825.33,825.33
OI015,O008,P040,1,1025.38,1025.38
OI016,O064,P009,2,1213.54,2427.08
OI017,O052,P046,2,1578.94,3157.88
OI018,O075,P043,3,1316.66,3949.98
OI019,O056,P044,1,66.97,66.97
OI020,O035,P036,1,1605.84,1605.84
OI021,O064,P036,1,1605.84,1605.84
OI022,O022,P026,3,283.73,851.19
OI023,O021,P038,2,1312.57,2625.14
OI024,O033,P046,1,1578.94,1578.94
OI025,O098,P015,2,1225.17,2450.34
OI026,O077,P018,3,173.1,519.3
OI027,O058,P008,4,366.96,1467.84
OI028,O074,P025,1,1057.62,1057.62
OI029,O070,P020,3,276.61,829.83
OI030,O023,P004,1,254.82,254.82
OI031,O097,P015,2,1225.17,2450.34
OI032,O048,P023,3,1252.31,3756.93
OI033,O007,P050,1,609.56,609.56
OI034,O072,P009,2,1213.54,2427.08
OI035,O042,P004,1,254.82,254.82
OI036,O005,P014,3,623.54,1870.62
OI037,O057,P019,4,1108.77,4435.08
OI038,O024,P014,2,623.54,1247.08
OI039,O088,P017,3,296.02,888.06
OI040,O034,P028,3,214.45,643.35
OI041,O057,P024,3,536.85,1610.55
OI042,O067,P047,3,1401.56,4204.68
OI043,O038,P038,1,1312.57,1312.57
OI044,O088,P028,3,214.45,643.35
OI045,O067,P038,1,1312.57,1312.57
OI046,O093,P022,3,1029.41,3088.23
OI047,O074,P027,1,270.85,270.85
OI048,O047,P031,4,216.39,865.56
OI049,O077,P023,1,1252.31,1252.31
OI050,O024,P008,3,366.96,1100.88
OI051,O036,P019,4,1108.77,4435.08
OI052,O032,P013,1,1085.38,1085.38
OI053,O046,P013,2,1085.38,2170.76
OI054,O048,P045,4,1378.32,5513.28
OI055,O002,P023,1,1252.31,1252.31
OI056,O052,P047,4,1401.56,5606.24
OI057,O012,P010,3,1914.36,5743.08
OI058,O033,P028,4,214.45,857.8
OI059,O074,P045,1,1378.32,1378.32
OI060,O025,P017,2,296.02,592.04
OI061,O070,P016,4,517.26,2069.04
OI062,O093,P015,4,1225.17,4900.68
OI063,O073,P010,2,1914.36,3828.72
OI064,O019,P047,3,1401.56,4204.68
OI065,O086,P022,2,1029.41,2058.82
OI066,O039,P040,4,1025.38,4101.52
OI067,O007,P026,1,283.73,283.73
OI068,O001,P024,4,536.85,2147.4
OI069,O054,P040,4,1025.38,4101.52
OI070,O032,P042,4,292.66,1170.64
OI071,O018,P013,2,1085.38,2170.76
OI072,O054,P032,1,1061.88,1061.88
OI073,O021,P006,3,1005.82,3017.46
OI074,O012,P040,1,1025.38,1025.38
OI075,O058,P027,2,270.85,541.7
OI076,O099,P028,4,214.45,857.8
OI077,O093,P032,3,1061.88,3185.64
OI078,O052,P022,2,1029.41,2058.82
OI079,O036,P032,2,1061.88,2123.76
OI080,O009,P009,1,1213.54,1213.54
OI081,O012,P027,2,270.85,541.7
OI082,O022,P042,2,292.66,585.32
OI083,O080,P006,2,1005.82,2011.64
OI084,O019,P039,3,647.82,1943.46
OI085,O001,P014,3,623.54,1870.62
OI086,O079,P001,1,653.05,653.05
OI087,O086,P035,2,194.72,389.44
OI088,O063,P019,4,1108.77,4435.08
OI089,O018,P025,4,1057.62,4230.48
OI090,O018,P045,1,1378.32,1378.32
OI091,O071,P034,1,239.27,239.27
OI092,O096,P031,3,216.39,649.17
OI093,O072,P021,2,107.69,215.38
OI094,O001,P017,2,296.02,592.04
OI095,O051,P002,3,407.88,1223.64
OI096,O074,P049,3,1562.64,4687.92
OI097,O007,P041,1,179.36,179.36
OI098,O037,P033,4,1569.12,6276.48
OI099,O034,P046,4,1578.94,6315.76
OI100,O046,P007,1,1455.12,1455.12
OI101,O030,P050,3,609.56,1828.68
OI102,O022,P037,4,187.7,750.8
OI103,O003,P028,4,214.45,857.8
OI104,O088,P005,2,825.33,1650.66
OI105,O026,P050,4,609.56,2438.24
OI106,O054,P026,1,283.73,283.73
OI107,O063,P024,2,536.85,1073.7
OI108,O017,P003,1,1497.48,1497.48
OI109,O071,P049,1,1562.64,1562.64
OI110,O031,P042,3,292.66,877.98
OI111,O071,P038,4,1312.57,5250.28
OI112,O012,P012,1,590.0,590.0
OI113,O016,P017,2,296.02,592.04
OI114,O096,P044,2,66.97,133.94
OI115,O091,P019,2,1108.77,2217.54
OI116,O089,P015,2,1225.17,2450.34
OI117,O027,P050,3,609.56,1828.68
OI118,O054,P001,2,653.05,1306.1
OI119,O093,P006,1,1005.82,1005.82
OI120,O091,P047,1,1401.56,1401.56
OI121,O090,P031,3,216.39,649.17
OI122,O061,P025,4,1057.62,4230.48
OI123,O062,P031,3,216.39,649.17
OI124,O042,P026,4,283.73,1134.92
OI125,O065,P050,2,609.56,1219.12
OI126,O062,P049,3,1562.64,4687.92
OI127,O069,P012,3,590.0,1770.0
OI128,O066,P016,1,517.26,517.26
OI129,O029,P034,1,239.27,239.27
OI130,O004,P014,1,623.54,623.54
OI131,O030,P037,4,187.7,750.8
OI132,O004,P012,2,590.0,1180.0
OI133,O078,P036,4,1605.84,6423.36
OI134,O051,P036,3,1605.84,4817.52
OI135,O034,P047,2,1401.56,2803.12
OI136,O041,P043,3,1316.66,3949.98
OI137,O002,P041,3,179.36,538.08
OI138,O059,P020,3,276.61,829.83
OI139,O074,P050,3,609.56,1828.68
OI140,O007,P006,2,1005.82,2011.64
OI141,O025,P010,4,1914.36,7657.44
OI142,O033,P049,1,1562.64,1562.64
OI143,O033,P039,4,647.82,2591.28
OI144,O041,P011,3,1806.26,5418.78
OI145,O057,P042,4,292.66,1170.64
OI146,O037,P050,2,609.56,1219.12
OI147,O007,P032,3,1061.88,3185.64
OI148,O083,P009,4,1213.54,4854.16
