Order_ID,Customer_ID,Order_Date,Payment_Method,Employee_ID,Total_Amount,Discount
O001,C033,2025-02-27,Cash,E002,4438.35,89.54
O002,C022,2025-04-17,Installment,E004,4730.16,74.26
O003,C038,2024-01-25,Credit,E005,418.76,165.82
O004,C012,2024-03-01,Cash,E010,4595.79,3.03
O005,C047,2024-03-24,Credit,E005,2457.25,171.97
O006,C042,2024-08-26,Installment,E007,1530.41,92.54
O007,C042,2024-08-17,Installment,E006,1041.07,55.49
O008,C023,2025-05-17,Installment,E001,2037.78,58.83
O009,C011,2025-11-08,Cash,E008,2920.83,107.83
O010,C035,2023-12-20,Installment,E004,2903.69,23.51
O011,C019,2024-07-20,Cash,E004,4502.07,76.33
O012,C002,2024-09-01,Cash,E003,3439.17,162.43
O013,C001,2025-09-20,Cash,E005,1829.88,197.06
O014,C033,2025-06-07,Installment,E005,1912.01,57.02
O015,C013,2025-07-30,Credit,E001,3610.99,53.0
O016,C028,2024-06-10,Cash,E010,812.68,75.49
O017,C015,2024-09-03,Cash,E009,2214.91,112.87
O018,C044,2024-06-21,Credit,E005,1978.69,143.22
O019,C047,2024-10-30,Cash,E008,4167.55,187.08
O020,C025,2025-06-13,Credit,E008,2836.97,15.52
O021,C025,2024-09-05,Installment,E009,4319.18,171.0
O022,C010,2024-01-20,Cash,E001,757.82,2.46
O023,C048,2025-05-03,Cash,E005,1855.43,167.67
O024,C010,2025-06-22,Installment,E009,4727.61,129.25
O025,C006,2024-01-28,Installment,E001,1524.99,26.54
O026,C035,2025-10-29,Credit,E008,3060.28,92.99
O027,C016,2024-01-17,Installment,E005,1387.17,11.48
O028,C046,2025-09-12,Cash,E003,2571.8,142.87
O029,C040,2025-10-14,Cash,E003,4667.03,42.86
O030,C017,2025-03-05,Credit,E007,4267.34,143.13
O031,C019,2024-03-26,Installment,E005,3718.8,105.04
O032,C001,2024-03-24,Cash,E005,4416.28,119.74
O033,C035,2024-05-06,Credit,E005,2667.17,73.19
O034,C023,2024-11-05,Credit,E001,3848.6,2.9
O035,C012,2025-06-24,Credit,E009,56.38,109.11
O036,C004,2025-03-30,Credit,E009,928.1,0.14
O037,C015,2024-01-19,Credit,E009,3076.78,176.67
O038,C011,2024-08-21,Cash,E007,1073.51,92.64
O039,C021,2025-03-09,Credit,E009,1810.33,196.69
O040,C030,2025-03-31,Cash,E007,63.76,11.57
O041,C006,2024-03-08,Installment,E007,2435.19,178.4
O042,C014,2025-05-01,Installment,E004,1770.31,171.53
O043,C016,2025-11-15,Credit,E006,1832.8,31.72
O044,C043,2025-09-04,Cash,E001,1490.02,198.26
O045,C023,2025-02-10,Cash,E002,1020.62,33.83
O046,C043,2025-07-08,Installment,E001,203.34,145.49
O047,C029,2025-07-05,Credit,E009,3038.12,43.93
O048,C038,2024-11-14,Credit,E003,2177.79,169.02
O049,C030,2024-02-23,Installment,E005,777.9,38.66
O050,C021,2025-09-19,Installment,E009,403.76,166.23
O051,C043,2025-08-28,Cash,E002,2074.26,13.2
O052,C044,2024-12-18,Credit,E010,2078.8,196.06
O053,C026,2025-04-11,Credit,E008,4680.77,62.75
O054,C009,2025-08-29,Credit,E010,4701.07,189.81
O055,C048,2025-05-19,Installment,E008,1644.94,95.76
O056,C010,2025-08-22,Credit,E004,3302.04,26.54
O057,C011,2024-06-03,Cash,E007,795.96,76.39
O058,C001,2024-09-13,Installment,E008,301.06,42.49
O059,C012,2024-11-07,Credit,E008,3679.03,189.34
O060,C006,2025-11-16,Cash,E009,1378.91,109.71
O061,C003,2025-01-05,Cash,E008,921.93,161.9
O062,C023,2024-06-20,Installment,E001,2642.61,177.77
O063,C049,2025-11-21,Credit,E002,4450.47,2.23
O064,C016,2024-11-12,Installment,E009,4902.68,114.34
O065,C021,2024-01-18,Cash,E009,4028.19,25.61
O066,C010,2025-01-27,Cash,E004,1835.72,100.78
O067,C003,2025-03-06,Installment,E008,3552.98,173.01
O068,C033,2025-11-14,Installment,E002,2962.59,120.9
O069,C025,2024-01-09,Installment,E008,862.27,139.36
O070,C043,2025-04-07,Cash,E008,2137.32,97.84
O071,C006,2025-06-08,Credit,E004,4609.47,0.36
O072,C034,2024-01-07,Credit,E008,4135.47,139.86
O073,C045,2024-06-27,Installment,E004,3976.66,155.15
O074,C011,2025-01-06,Credit,E003,4865.54,58.63
O075,C038,2025-01-06,Installment,E005,2883.57,140.03
O076,C027,2024-06-29,Credit,E003,135.58,67.19
O077,C007,2024-08-10,Installment,E002,1935.53,182.67
O078,C043,2025-01-14,Cash,E010,2457.96,193.33
O079,C006,2024-10-21,Installment,E003,821.58,44.64
O080,C004,2023-12-31,Cash,E005,601.14,68.43
O081,C029,2024-01-16,Installment,E008,812.83,150.31
O082,C008,2025-11-29,Credit,E001,4088.84,82.31
O083,C013,2025-05-12,Installment,E010,4143.83,30.49
O084,C013,2023-12-13,Credit,E009,2192.28,31.28
O085,C018,2024-02-28,Credit,E010,3091.92,96.65
O086,C040,2025-01-29,Credit,E005,4136.15,166.21
O087,C041,2024-01-14,Installment,E006,555.88,137.94
O088,C036,2025-11-03,Cash,E004,793.99,0.46
O089,C018,2024-01-24,Installment,E002,583.11,187.03
O090,C049,2025-11-30,Installment,E006,2667.9,181.82
O091,C020,2024-06-30,Cash,E006,3554.4,94.6
O092,C014,2025-09-08,Installment,E001,306.27,80.45
O093,C029,2025-12-03,Installment,E009,4974.29,72.77
O094,C049,2025-05-20,Credit,E010,2233.94,62.06
O095,C003,2025-12-06,Credit,E002,823.19,4.31
O096,C024,2025-03-14,Credit,E010,3625.53,46.8
O097,C017,2024-03-13,Credit,E004,4143.77,133.04
O098,C048,2025-02-20,Cash,E001,4792.73,152.86
O099,C044,2024-10-12,Installment,E003,4519.64,124.85
O100,C002,2024-04-30,Cash,E004,3858.08,155.0
