Product_ID,Product_Name,Category,Supplier,Price,Quantity_In_Stock,Reorder_Level,Rating
P001,Its Test,Furniture,DellStore,653.05,177,18,2.5
P002,Movement Senior,Computers,FashionHub,407.88,168,13,1.2
P003,Toward Doctor,Furniture,TechWorld,1497.48,60,18,3.9
P004,Occur Memory,Clothing,DellStore,254.82,163,45,4.9
P005,Public Item,Toys,FashionHub,825.33,199,18,4.2
P006,Only Sign,Home Appliances,DellStore,1005.82,70,23,1.9
P007,Certainly Activity,Clothing,FashionHub,1455.12,114,11,2.0
P008,I Mouth,Home Appliances,GalaxySupplies,366.96,16,7,4.7
P009,Item Close,Home Appliances,DellStore,1213.54,196,5,2.2
P010,Budget Area,Electronics,TechWorld,1914.36,141,49,3.4
P011,Produce Eye,Furniture,FashionHub,1806.26,57,27,1.9
P012,Measure Shoulder,Clothing,HomeNeeds,590.0,20,27,3.1
P013,Crime Accept,Clothing,DellStore,1085.38,196,32,1.9
P014,Especially Perform,Toys,GalaxySupplies,623.54,188,31,2.4
P015,Benefit Explain,Furniture,FashionHub,1225.17,186,45,1.4
P016,Natural Everything,Home Appliances,ToyLand,517.26,127,42,2.7
P017,General Always,Home Appliances,ToyLand,296.02,96,42,4.8
P018,Brother Necessary,Computers,TechWorld,173.1,83,27,4.2
P019,Cause Sing,Furniture,ToyLand,1108.77,47,36,3.8
P020,Whom Story,Home Appliances,TechWorld,276.61,137,34,4.5
P021,Kid Product,Clothing,GalaxySupplies,107.69,51,31,3.0
P022,End Over,Electronics,TechWorld,1029.41,125,13,4.5
P023,Never He,Electronics,HomeNeeds,1252.31,149,31,1.6
P024,Wear Finally,Home Appliances,FashionHub,536.85,93,34,4.3
P025,Although Need,Home Appliances,HomeNeeds,1057.62,84,32,1.2
P026,Operation Strong,Toys,FashionHub,283.73,26,37,2.9
P027,Industry Himself,Furniture,GalaxySupplies,270.85,111,33,1.2
P028,Perhaps Around,Toys,ToyLand,214.45,136,15,1.8
P029,Perform Say,Home Appliances,GalaxySupplies,173.68,132,45,1.1
P030,Those Dream,Home Appliances,GalaxySupplies,323.63,173,18,1.8
P031,Per Economy,Furniture,FashionHub,216.39,66,31,2.1
P032,Law Score,Clothing,DellStore,1061.88,40,37,3.2
P033,Pm Unit,Home Appliances,ToyLand,1569.12,78,16,3.7
P034,Work Game,Computers,GalaxySupplies,239.27,187,14,1.7
P035,Reality Region,Home Appliances,HomeNeeds,194.72,79,6,2.9
P036,Owner Fly,Toys,GalaxySupplies,1605.84,89,45,2.9
P037,Why Century,Home Appliances,ToyLand,187.7,156,16,2.4
P038,Project Person,Toys,HomeNeeds,1312.57,183,7,2.5
P039,Rate Own,Clothing,GalaxySupplies,647.82,188,19,3.2
P040,Save Believe,Electronics,DellStore,1025.38,65,8,3.7
P041,New Majority,Home Appliances,DellStore,179.36,61,31,4.8
P042,Hot Interest,Furniture,ToyLand,292.66,197,23,4.1
P043,Market Space,Home Appliances,ToyLand,1316.66,151,41,1.8
P044,Create Raise,Computers,FashionHub,66.97,81,10,2.8
P045,Indicate Fact,Clothing,GalaxySupplies,1378.32,84,33,4.4
P046,Doctor Economic,Clothing,FashionHub,1578.94,84,46,3.3
P047,Why Control,Home Appliances,ToyLand,1401.56,51,43,3.7
P048,Concern Believe,Toys,FashionHub,1389.55,121,46,1.3
P049,Structure Any,Furniture,ToyLand,1562.64,183,49,1.1
P050,Set Late,Computers,ToyLand,609.56,73,26,2.0
